incendio_anio;incendio_provincia;incendio_total_numero;incendio_negligencia_numero;incendio_intencional_numero;incendio_natural_numero;incendio_desconocida_numero
2011;Buenos Aires;1174;95;66;96;917
2011;Catamarca;38;1;0;0;37
2011;Chaco;529;70;9;10;440
2011;Chubut;169;54;44;5;66
2011;Ciudad Autónoma de Buenos Aires;3;0;0;0;3
2011;Córdoba;147;0;147;0;0
2011;Corrientes;18;1;12;2;3
2011;Entre Ríos;38;12;4;0;22
2011;Formosa;131;127;4;0;0
2011;Jujuy;212;11;17;0;184
2011;La Pampa;38;6;0;32;0
2011;La Rioja;161;48;3;5;105
2011;Mendoza;123;29;80;2;12
2011;Misiones;96;38;0;0;58
2011;Neuquén;157;94;11;10;42
2011;Río Negro;1130;155;850;0;125
2011;Salta;358;46;52;91;169
2011;San Juan;401;270;131;0;0
2011;San Luis;33;8;3;0;22
2011;Santa Cruz;11;5;1;0;5
2011;Santa Fe;1658;425;1214;0;19
2011;Santiago del Estero;93;0;89;0;4
2011;Tierra del Fuego;20;14;2;1;3
2012;Buenos Aires;111;15;7;5;84
2012;Catamarca;84;9;29;0;46
2012;Chaco;597;6;0;5;586
2012;Chubut;89;16;39;1;33
2012;Ciudad Autónoma de Buenos Aires;6;0;0;0;6
2012;Córdoba;135;0;135;0;0
2012;Corrientes;215;0;27;8;180
2012;Entre Ríos;94;12;45;0;37
2012;Formosa;42;42;0;0;0
2012;Jujuy;199;0;28;0;171
2012;La Pampa;25;11;2;11;1
2012;La Rioja;167;19;0;1;147
2012;Mendoza;172;12;99;9;52
2012;Misiones;202;67;5;0;130
2012;Neuquén;105;42;17;30;16
2012;Río Negro;784;211;501;1;71
2012;Salta;443;33;46;52;312
2012;San Juan;307;105;197;5;0
2012;San Luis;33;7;21;3;2
2012;Santa Cruz;14;8;0;0;6
2012;Santa Fe;1613;127;1472;0;14
2012;Santiago del Estero;72;0;72;0;0
2012;Tierra del Fuego;10;8;1;0;1
2012;Tucumán;80;0;38;0;42
2013;Buenos Aires;458;18;11;0;429
2013;Catamarca;90;7;7;0;76
2013;Chaco;480;4;3;0;473
2013;Chubut;106;44;34;0;28
2013;Ciudad Autónoma de Buenos Aires;6;1;0;0;5
2013;Córdoba;173;0;173;0;0
2013;Corrientes;101;21;0;0;80
2013;Entre Ríos;112;3;21;0;88
2013;Formosa;326;326;0;0;0
2013;Jujuy;246;15;2;0;229
2013;La Pampa;87;53;2;32;0
2013;La Rioja;248;34;14;0;200
2013;Mendoza;185;18;139;8;20
2013;Misiones;98;28;0;0;70
2013;Neuquén;141;44;57;28;12
2013;Río Negro;1036;194;149;0;693
2013;Salta;870;0;13;591;266
2013;San Juan;187;26;161;0;0
2013;San Luis;36;14;18;2;2
