provincia;estacion;media;ene;feb;mar;abr;may;jun;jul;ago;sep;oct;nov;dic
Buenos Aires;JUNÍN AERO;Humedad relativa (%);69.6;74.4;77.2;77.8;78.5;79.3;77.1;72.3;70.1;71.1;67.8;65.9
Chubut;ESQUEL AERO;Humedad relativa (%);48.0;50.1;56.5;63.5;72.2;76.6;75.5;70.9;62.9;55.2;50.0;48.1
Corrientes;CORRIENTES AERO;Humedad relativa (%);70.7;74.6;77.7;80.2;80.0;81.2;76.5;72.3;70.8;72.3;72.1;70.9
Entre Rios;GUALEGUAYCHÚ AERO;Humedad relativa (%);65.1;71.6;74.3;78.8;80.7;82.5;80.3;75.9;72.9;71.9;68.9;65.4
La Pampa;SANTA ROSA AERO;Humedad relativa (%);58.6;62.6;69.6;72.1;75.4;75.9;72.7;64.8;63.0;62.1;57.6;55.4
Mendoza;SAN RAFAEL AERO;Humedad relativa (%);53.6;56.8;63.6;66.9;68.0;66.1;63.4;57.2;55.8;51.9;50.2;50.7
Misiones;IGUAZÚ AERO;Humedad relativa (%);78.1;80.4;79.7;83.7;86.5;88.1;83.6;78.5;76.4;77.3;74.9;75.7
Neuquen;NEUQUÉN AERO;Humedad relativa (%);36.7;44.0;53.4;62.2;67.7;71.7;68.5;58.7;51.1;44.3;38.3;36.1
Rio Negro;BARILOCHE AERO;Humedad relativa (%);54.1;54.8;62.4;69.8;76.4;80.2;78.9;75.9;68.2;62.5;57.7;54.9
San Juan;SAN JUAN AERO;Humedad relativa (%);44.3;47.1;54.5;57.9;61.4;62.5;57.8;48.2;43.8;39.6;38.9;40.1
Tucuman;TUCUMÁN AERO;Humedad relativa (%);74.2;76.8;81.0;81.2;80.3;78.9;70.9;62.1;58.4;61.5;67.1;70.8
