provincia;estacion;media;ene;feb;mar;abr;may;jun;jul;ago;sep;oct;nov;dic
Buenos Aires;JUNÍN AERO;Precipitación (mm);132.3;118.8;133.2;109.1;61.2;26.8;31.5;32.4;55.3;122.8;110.7;110.0
Chubut;ESQUEL AERO;Precipitación (mm);18.8;18.4;24.5;43.1;65.0;79.4;60.2;47.0;35.7;28.3;20.8;20.8
Corrientes;CORRIENTES AERO;Precipitación (mm);167.3;161.9;175.1;206.6;91.9;70.5;37.5;47.2;75.7;150.7;184.3;157.7
Cordoba;RÍO CUARTO AERO;Precipitación (mm);144.5;90.6;107.8;64.7;31.5;8.4;14.5;13.9;40.1;75.4;128.7;138.6
Entre Rios;GUALEGUAYCHÚ AERO;Precipitación (mm);109.6;102.5;131.6;113.9;82.7;56.0;50.6;54.4;71.0;110.1;119.9;116.5
Jujuy;JUJUY AERO;Precipitación (mm);153.2;152.9;138.9;49.4;11.6;2.8;3.4;3.1;5.4;28.1;61.1;130.4
La Pampa;SANTA ROSA AERO;Precipitación (mm);94.6;81.0;102.3;58.0;32.9;15.5;21.5;28.1;50.9;74.7;81.7;104.3
Mendoza;SAN RAFAEL AERO;Precipitación (mm);61.0;42.8;37.2;26.1;15.6;9.1;13.2;16.0;27.4;30.5;38.6;45.3
Misiones;IGUAZÚ AERO;Precipitación (mm);177.7;154.7;126.5;169.1;192.7;148.3;115.8;94.2;160.3;237.0;186.3;186.9
Neuquen;NEUQUÉN AERO;Precipitación (mm);12.9;11.9;23.6;15.3;21.1;23.5;15.9;11.4;19.3;20.3;14.5;11.2
Rio Negro;BARILOCHE AERO;Precipitación (mm);20.0;15.3;35.2;58.9;130.1;170.1;122.1;101.4;56.5;49.4;29.3;23.4
San Juan;SAN JUAN AERO;Precipitación (mm);15.7;18.9;11.2;4.4;4.4;1.6;3.5;3.2;5.6;3.6;7.0;11.6
Tucuman;TUCUMÁN AERO;Precipitación (mm);230.6;172.3;151.1;62.5;25.9;13.1;7.4;8.5;16.1;65.1;103.0;175.9
