provincia;estacion;media;ene;feb;mar;abr;may;jun;jul;ago;sep;oct;nov;dic
Buenos Aires;JUNÍN AERO;Temperatura máxima (°C);29.8;28.4;26.6;22.6;19.0;15.5;15.0;17.7;19.7;22.7;26.0;28.8
Chubut;ESQUEL AERO;Temperatura máxima (°C);21.7;22.2;19.1;14.4;10.1;6.7;6.1;8.5;11.8;14.7;17.6;19.9
Corrientes;CORRIENTES AERO;Temperatura máxima (°C);33.2;31.9;30.6;26.8;23.4;21.0;21.1;23.4;24.9;27.9;29.5;31.9
Córdoba;RÍO CUARTO AERO;Temperatura máxima (°C);22.9;21.8;20.1;16.3;12.7;9.7;8.9;11.0;13.6;17.4;20.1;22.2
Entre Rios;GUALEGUAYCHÚ AERO;Temperatura máxima (°C);31.6;29.8;28.2;23.9;20.2;17.1;16.7;19.2;20.6;24.0;27.0;29.9
Jujuy;JUJUY AERO;Temperatura máxima (°C);30.0;28.8;27.2;24.0;21.3;19.7;20.3;23.3;25.7;29.0;29.9;30.5
La Pampa;SANTA ROSA AERO;Temperatura máxima (°C);31.0;29.8;26.9;22.4;18.0;14.7;14.2;17.2;19.7;23.1;26.7;29.8
Mendoza;SAN RAFAEL AERO;Temperatura máxima (°C);31.1;30.0;27.0;22.5;18.5;15.8;15.2;17.6;19.8;24.2;27.5;30.2
Misiones;IGUAZÚ AERO;Temperatura máxima (°C);31.8;31.2;30.7;27.5;23.5;21.7;22.2;24.7;25.8;28.3;30.1;31.4
Neuquen;NEUQUÉN AERO;Temperatura máxima (°C);31.9;30.6;27.0;21.6;16.5;12.9;12.9;15.9;18.9;23.2;27.1;30.2
Rio Negro;BARILOCHE AERO;Temperatura máxima (°C);22.6;23.0;19.7;14.6;10.2;6.9;6.7;8.3;11.5;14.8;17.9;20.5
San Juan;SAN JUAN AERO;Temperatura máxima (°C);34.9;33.4;30.3;25.2;20.5;16.9;16.5;19.9;23.2;28.1;31.6;34.2
Tucuman;TUCUMÁN AERO;Temperatura máxima (°C);31.0;29.7;27.9;24.6;21.2;18.6;19.3;22.8;25.4;28.9;29.9;30.8
