mes,Buenos Aires,Chubut,Corrientes,Cordoba,Entre Rios,Jujuy,La Pampa,Mendoza,Misiones,Neuquen,Rio Negro,San Juan,Tucuman
ene,29.8,21.7,33.2,22.9,31.6,30.0,31.0,31.1,31.8,31.9,22.6,34.9,31.0
feb,28.4,22.2,31.9,21.8,29.8,28.8,29.8,30.0,31.2,30.6,23.0,33.4,29.7
mar,26.6,19.1,30.6,20.1,28.2,27.2,26.9,27.0,30.7,27.0,19.7,30.3,27.9
abr,22.6,14.4,26.8,16.3,23.9,24.0,22.4,22.5,27.5,21.6,14.6,25.2,24.6
may,19.0,10.1,23.4,12.7,20.2,21.3,18.0,18.5,23.5,16.5,10.2,20.5,21.2
jun,15.5,6.7,21.0,9.7,17.1,19.7,14.7,15.8,21.7,12.9,6.9,16.9,18.6
jul,15.0,6.1,21.1,8.9,16.7,20.3,14.2,15.2,22.2,12.9,6.7,16.5,19.3
ago,17.7,8.5,23.4,11.0,19.2,23.3,17.2,17.6,24.7,15.9,8.3,19.9,22.8
sep,19.7,11.8,24.9,13.6,20.6,25.7,19.7,19.8,25.8,18.9,11.5,23.2,25.4
oct,22.7,14.7,27.9,17.4,24.0,29.0,23.1,24.2,28.3,23.2,14.8,28.1,28.9
nov,26.0,17.6,29.5,20.1,27.0,29.9,26.7,27.5,30.1,27.1,17.9,31.6,29.9
dic,28.8,19.9,31.9,22.2,29.9,30.5,29.8,30.2,31.4,30.2,20.5,34.2,30.8
