Mes,Buenos Aires,Chubut,Corrientes,Cordoba,Entre Rios,Jujuy,La Pampa,Mendoza,Misiones,Neuquen,Rio Negro,San Juan,Tucuman
Ene,23.0,15.1,27.0,23.4,25.1,23.6,23.6,23.3,25.6,23.7,15.0,27.1,25.2
Feb,21.7,15.0,26.0,22.2,23.7,22.5,22.1,22.0,24.9,22.3,14.8,25.5,24.0
Mar,19.7,12.3,24.7,20.7,22.0,21.4,19.5,19.3,24.2,18.9,11.9,22.8,22.6
Abr,15.8,8.2,21.4,17.2,17.8,18.3,14.9,14.5,21.4,13.4,7.9,17.2,19.2
May,12.4,4.9,18.0,13.7,14.2,14.8,11.0,10.5,17.6,9.2,4.9,12.2,15.7
Jun,9.3,2.4,15.9,10.7,11.3,12.2,7.9,7.7,15.9,6.6,2.9,8.3,12.7
Jul,8.6,1.5,15.2,10.0,10.7,11.9,7.2,6.9,15.7,5.8,2.1,7.7,12.2
Ago,10.7,3.2,17.0,12.5,12.8,15.0,9.5,9.0,17.6,8.1,3.0,10.6,14.9
Sep,12.9,5.5,18.5,14.9,14.7,17.8,12.1,11.8,19.1,11.4,5.1,14.4,17.8
Oct,16.3,8.4,21.8,18.6,18.0,21.7,15.9,16.3,21.9,15.6,8.0,19.8,21.8
Nov,19.4,11.2,23.7,20.9,20.9,23.0,19.4,19.6,23.5,19.4,10.8,23.4,23.4
Dic,22.0,13.6,25.8,22.9,23.4,23.8,22.5,22.4,25.0,22.4,13.5,26.3,24.9
