,Source,eType,Target,Time,Weight,SourceLocation,TargetLocation,SourceLatitude,SourceLongitude,TargetLatitude,TargetLongitude,Epoch,formatted_Time,day,source_target,demo_category
0,636721,2,585417,98586,1398.0,,,,,,,1735798986,"2025-01-02,03:23:06",2025-01-02,636721-585417,NA
1,628320,1,557269,186326,1.0,4.0,4.0,0.22407800000000003,-163.624,2.40053,-161.28799999999998,1735886726,"2025-01-03,03:45:26",2025-01-03,628320-557269,NA
2,546593,1,492850,211842,1.0,0.0,3.0,32.2146,-42.6609,-24.9904,-111.346,1735912242,"2025-01-03,10:50:42",2025-01-03,546593-492850,NA
3,536906,0,569329,925206,1.0,,,,,,,1736625606,"2025-01-11,17:00:06",2025-01-11,536906-569329,NA
4,483005,0,655963,1214644,1.0,,,,,,,1736915044,"2025-01-15,01:24:04",2025-01-15,483005-655963,NA
5,601496,0,557269,1233608,1.0,,,,,,,1736934008,"2025-01-15,06:40:08",2025-01-15,601496-557269,NA
6,580798,6,625756,1296000,5.0,2.0,3.0,-22.0,91.0,-25.0,-111.0,1736996400,"2025-01-16,00:00:00",2025-01-16,580798-625756,NA
7,580798,6,625756,1296000,5.0,2.0,3.0,-22.0,91.0,-25.0,-111.0,1736996400,"2025-01-16,00:00:00",2025-01-16,580798-625756,NA
8,580798,6,625756,1296000,5.0,2.0,3.0,-22.0,91.0,-25.0,-111.0,1736996400,"2025-01-16,00:00:00",2025-01-16,580798-625756,NA
9,580798,6,625756,1296000,5.0,2.0,3.0,-22.0,91.0,-25.0,-111.0,1736996400,"2025-01-16,00:00:00",2025-01-16,580798-625756,NA
10,580798,6,625756,1296000,5.0,2.0,3.0,-22.0,91.0,-25.0,-111.0,1736996400,"2025-01-16,00:00:00",2025-01-16,580798-625756,NA
11,492850,6,625756,1641600,-1.0,5.0,3.0,22.0,156.0,-25.0,-111.0,1737342000,"2025-01-20,00:00:00",2025-01-20,492850-625756,NA
12,492850,6,625756,1641600,-1.0,5.0,3.0,22.0,156.0,-25.0,-111.0,1737342000,"2025-01-20,00:00:00",2025-01-20,492850-625756,NA
13,492850,6,625756,1641600,-1.0,5.0,3.0,22.0,156.0,-25.0,-111.0,1737342000,"2025-01-20,00:00:00",2025-01-20,492850-625756,NA
14,492850,6,625756,1641600,-1.0,5.0,3.0,22.0,156.0,-25.0,-111.0,1737342000,"2025-01-20,00:00:00",2025-01-20,492850-625756,NA
15,492850,6,625756,1641600,-1.0,5.0,3.0,22.0,156.0,-25.0,-111.0,1737342000,"2025-01-20,00:00:00",2025-01-20,492850-625756,NA
16,639642,1,639642,1648114,1.0,5.0,5.0,21.5434,154.279,21.5434,154.279,1737348514,"2025-01-20,01:48:34",2025-01-20,639642-639642,NA
17,636721,3,461577,1669171,8.0,,,,,,,1737369571,"2025-01-20,07:39:31",2025-01-20,636721-461577,NA
18,636721,3,629826,1775557,230.0,,,,,,,1737475957,"2025-01-21,13:12:37",2025-01-21,636721-629826,NA
19,557269,1,544636,1821416,1.0,4.0,3.0,2.40053,-161.28799999999998,-23.8755,-111.541,1737521816,"2025-01-22,01:56:56",2025-01-22,557269-544636,NA
