,Source,eType,Target,Time,Weight,SourceLocation,TargetLocation,SourceLatitude,SourceLongitude,TargetLatitude,TargetLongitude,Epoch,formatted_Time,day,source_target,demo_category
0,0,4,-99,-99,-99,,,,,,,1735700301,"2024-12-31,23:58:21",2024-12-31,0--99,NA
1,41,0,34,86400,1,,,,,,,1735786800,"2025-01-02,00:00:00",2025-01-02,41-34,NA
2,37,0,27,94461,1,,,,,,,1735794861,"2025-01-02,02:14:21",2025-01-02,37-27,NA
3,34,1,27,107548,1,5.0,5.0,,,,,1735807948,"2025-01-02,05:52:28",2025-01-02,34-27,NA
4,41,0,37,127838,1,,,,,,,1735828238,"2025-01-02,11:30:38",2025-01-02,41-37,NA
5,34,1,37,137358,1,5.0,5.0,,,,,1735837758,"2025-01-02,14:09:18",2025-01-02,34-37,NA
6,27,0,41,137514,1,,,,,,,1735837914,"2025-01-02,14:11:54",2025-01-02,27-41,NA
7,27,0,41,146000,1,,,,,,,1735846400,"2025-01-02,16:33:20",2025-01-02,27-41,NA
8,41,1,37,149161,1,5.0,5.0,,,,,1735849561,"2025-01-02,17:26:01",2025-01-02,41-37,NA
9,37,0,34,158428,1,,,,,,,1735858828,"2025-01-02,20:00:28",2025-01-02,37-34,NA
10,41,0,34,169247,1,,,,,,,1735869647,"2025-01-02,23:00:47",2025-01-02,41-34,NA
11,27,1,37,177201,1,5.0,5.0,,,,,1735877601,"2025-01-03,01:13:21",2025-01-03,27-37,NA
12,37,1,41,183172,1,5.0,5.0,,,,,1735883572,"2025-01-03,02:52:52",2025-01-03,37-41,NA
13,41,0,27,216582,1,,,,,,,1735916982,"2025-01-03,12:09:42",2025-01-03,41-27,NA
14,34,1,41,218423,1,5.0,5.0,,,,,1735918823,"2025-01-03,12:40:23",2025-01-03,34-41,NA
15,41,1,27,230069,1,5.0,5.0,,,,,1735930469,"2025-01-03,15:54:29",2025-01-03,41-27,NA
16,41,1,37,233022,1,5.0,5.0,,,,,1735933422,"2025-01-03,16:43:42",2025-01-03,41-37,NA
17,34,1,41,236079,1,5.0,5.0,,,,,1735936479,"2025-01-03,17:34:39",2025-01-03,34-41,NA
18,41,1,37,239793,1,5.0,5.0,,,,,1735940193,"2025-01-03,18:36:33",2025-01-03,41-37,NA
19,37,1,27,265109,1,5.0,5.0,,,,,1735965509,"2025-01-04,01:38:29",2025-01-04,37-27,NA
